deployment_phase,section,category,bug_id,severity,state,description,defer_trigger,owner,status_note
pre_deployment,A,Dashboard / RBAC,BUG-SA-001,S1,in_progress,Role/view mismatch class is reduced. My-dashboard task tile now reads clinician open-task SSoT with fail-visible query behavior (no silent [] fallback). Remaining closure item: full role-matrix runtime replay across all dashboard views in staging.,,,
pre_deployment,A,Dashboard / Cache,BUG-SA-002,S1,in_progress,"Key mismatch class addressed via clinic-scoped key factory (dashboardKeys.dashAll(...)) and explicit invalidation against ['dash', clinicScopeToken] + ['dashboard', clinicScopeToken]. Remaining closure item: staging replay proving no stale-card recurrence under auto-refresh and manual refresh.",,,
pre_deployment,A,Reallocation / Data Integrity,BUG-SA-003,S1,in_progress,"Transaction envelope + shared execution command now land on bulk reassignment, planned-transition execute, and reallocation-approve paths (applyPatientAllocationMutation orchestration converged). Integration coverage now includes reallocation request/approve/reject + cross-clinic and four-eyes guards (bugBulkPlannedReallocationAssignmentPath.int.test.ts), with FORCE-RLS tenant-context hardening. Pending staging canary + rollback drill evidence before closure.",,,
pre_deployment,A,Assignment Model,BUG-SA-004,S1,in_progress,"Shared caseload predicate + unified allocation execution path now reduce episodes/patient_team_assignments drift. Team-task scope SQL is now shared between task-list queries and dashboard team open-task aggregate, reducing count drift. Remaining closure item: full read-path convergence and backfill verification across legacy data.",,,
pre_deployment,A,Route Contracts,BUG-SA-005,S1,in_progress,Route-contract guard now resolves staff-settings/ai-context/:id mutation paths (PATCH/DELETE) with backend handlers; local guard:frontend-route-contract and guard:frontend-urls are green. Remaining closure item: staging route-crawler replay + canary soak trend.,,,
pre_deployment,A,Data Reconciliation,BUG-SA-006,S1,open,No formal reconciliation/backfill protocol yet for legacy assignment drift across clinics; fix code alone will not repair existing mismatched rows.,,,
pre_deployment,A,Mutation Idempotency,BUG-SA-007,S1,open,Retryable multi-write mutation surfaces lack a consistent idempotency contract; duplicate or partial effects remain possible under retries/timeouts.,,,
pre_deployment,A,Observability Baseline,BUG-SA-008,S1,open,S0/S1 closure currently lacks mandatory queue DLQ/invariant-breach observability baseline across API + workers.,,,
pre_deployment,A,Migration Safety,BUG-SA-009,S1,open,Forward-fix/rollback protocol is not yet codified per structural slice (expand/contract compatibility + data migration recovery path).,,,
pre_deployment,A,Critical Performance Risk,BUG-SA-010,S1,open,Known critical-path N+1/aggregation drift risks (reassignment/transition/dashboard) need pre-deploy baseline proof and remediation where failing thresholds are exceeded.,,,
pre_deployment,A,Safety Case Gaps,BUG-SA-011,S1,in_progress,"Task write mutation convergence now landed (single command path + guard:task-mutation-command-convergence). Remaining closure items: dashboard false-zero hazard set, cross-module invariant matrix completion, and self-harm escalation fail-safe proofs.",,,
pre_deployment,A,Messaging/Jobs,BUG-WF42-EMAIL-WORKER-STUB,S0,open,emailWorker.ts remains a delivery SPOF class; multi-workflow blast radius (reminders/reset/invoice/referral/notifications).,,,
pre_deployment,A,Worker Tenancy,BUG-WF42-OUTREACH-WORKER-RLS-CONTEXT,S1,open,Patient-outreach worker context mismatch causes repeated failed jobs for valid clinic-scoped records.,,,
pre_deployment,A,Infra / Deploy,BUG-INFRA-ENV-CONTRACT-GAP,S1,open,Critical env contract/documentation gap for integration surfaces; staging/prod deploy reliability risk.,,,
pre_deployment,A,Auth / Account Recovery,BUG-WF22-PWD-RESET-MISSING,S0,open,Password reset backend route coverage remains incomplete/missing against frontend flow.,,,
pre_deployment,A,Clinical Safety,BUG-WF52-SUICIDE-ALERT-MISSING,S0,open,Missing high-risk assessment escalation behavior for suicide ideation thresholds.,,,
pre_deployment,A,Referral Safety,BUG-WF71-PATIENT-MATCH-NAIVE,S0,open,Referral patient matching logic remains safety-sensitive; false-match risk must be closed pre-deploy.,,,
