bug_id,area_workflow,severity,state,deployment_phase,owner,evidence_link,next_action
BUG-WF42-EMAIL-WORKER-STUB,Messaging / Jobs,S0,fixed,pre,,remediation/evidence/d39-s0-auth-consent-reminder-closure-pack-2026-05-28.md,"2026-05-28: Closed with non-stub worker guard + unit dispatch proof + endpoint integration proof (bugWf61ReceiptEmail.int.test.ts) that billing_notice jobs are queued on payment/invoice flows."
BUG-WF22-PWD-RESET-MISSING,Auth / Account Recovery,S0,fixed,pre,,remediation/evidence/d39-s0-auth-consent-reminder-closure-pack-2026-05-28.md,"2026-05-28: Closed with request/confirm password-reset flow integration proof (passwordResetFlow.int.test.ts) against real API routes and token lifecycle."
BUG-WF52-SUICIDE-ALERT-MISSING,Clinical Safety / Assessments,S0,fixed,pre,,remediation/evidence/d39-s0-auth-consent-reminder-closure-pack-2026-05-28.md,"2026-05-28: Closed with server-authoritative PHQ-9 risk trigger and escalation proof (bugWf52AssessmentSuicideRiskEscalation.int.test.ts, assessmentRisk.test.ts)."
BUG-WF71-PATIENT-MATCH-NAIVE,Referral Safety,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with fail-closed referral patient-binding rules and integration proof in bugWf71ReferralPatientMatchSafety.int.test.ts."
BUG-SCRIBE25-001,AI / Clinical Safety,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with enforced non-diagnostic AI egress qualifiers and regression proof in responseGuard.test.ts."
BUG-SCRIBE25-002,AI / Governance,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with collaboration-attestation gating and integration proof in bugScribe25SafetyPlanAttestation.int.test.ts."
BUG-WF21-JWT-GHOST-SESSION,Auth / Session,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with session-first token issuance path in auth service and green auth integration regression pack."
BUG-WF21-AUTH-COUNTER-RACE,Auth / Session,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with atomic failed-login update strategy (single SQL expression) and green auth integration regression pack."
BUG-WF21-OTP-CAP-MISSING,Auth / Session,S0,fixed,pre,,remediation/evidence/d39-s0-auth-consent-reminder-closure-pack-2026-05-28.md,"2026-05-28: Closed with MFA attempt-cap regression proof in mfaAttemptCap.int.test.ts."
BUG-WF41-SLOT-RACE,Appointments,S0,fixed,pre,,remediation/evidence/d39-s0-auth-consent-reminder-closure-pack-2026-05-28.md,"2026-05-28: Closed with database unique active-slot enforcement proven by integration (appointmentSlotUniqueness.int.test.ts)."
BUG-WF42-CANCEL-CLEANUP-MISSING,Reminders,S0,fixed,pre,,remediation/evidence/d39-s0-auth-consent-reminder-closure-pack-2026-05-28.md,"2026-05-28: Closed with cancel-path queue cleanup proof (appointmentCancelReminderCleanup.int.test.ts) for both email and outreach reminder jobs."
BUG-WF51-ATTESTATION-BYPASS,Ambient AI / Governance,S0,fixed,pre,,remediation/evidence/d39-s0-auth-consent-reminder-closure-pack-2026-05-28.md,"2026-05-28: Closed with fail-closed sign-attestation enforcement proven in bug417AiDraftSignAttestation.int.test.ts and utility guard tests."
BUG-WF51-CONSENT-REVOKE-RACE,Ambient AI / Consent,S0,fixed,pre,,remediation/evidence/d39-s0-auth-consent-reminder-closure-pack-2026-05-28.md,"2026-05-28: Closed with mid-flow consent re-check fail-closed behavior proven in ambientNoteConsentGate.int.test.ts."
BUG-WF81-NPDS-PAYLOAD-ENCRYPTION,ePrescription / Security,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with payload-security conformance vectors (sign + encrypt_sign) in erxConformanceMvp."
BUG-ARCH-NPDS-SUBMIT-RETRY,ePrescription / Reliability,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with retry/backoff conformance vector proof (transient failure recover path) in erxConformanceMvp."
BUG-WF81-HPII-MISSING,ePrescription / Compliance,S0,fixed,pre,,remediation/evidence/d29-wf81-hpii-pbs-aslr-closure-2026-05-28.md,"2026-05-28: Strict fail-closed prescriber HPI-I gate is active with no WARN bypass in requireValidHpii; regression proof passed in hpiiValidation.int.test.ts, clozapineDisciplineBarrier.int.test.ts, and bugP5IhiStatusPrescribeGate.int.test.ts."
BUG-ARCH-MEDICATION-STATUS-ENUM-DRIFT,ePrescription / Data Contract,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with shared/web enum parity guard in medicationTypes.test.ts and green typecheck."
BUG-ARCH-PATIENTAPP-LOGIN-RATE-LIMIT,Architecture / Security,S0,fixed,pre,,remediation/evidence/d39-s0-auth-consent-reminder-closure-pack-2026-05-28.md,"2026-05-28: Closed with integration proof of layered rate limiting on /patient-app/login (rateLimiting.test.ts)."
BUG-ARCH-PATIENTAPP-ACTIVATION-ATTEMPT-CAP,Architecture / Security,S0,fixed,pre,,remediation/evidence/d39-s0-auth-consent-reminder-closure-pack-2026-05-28.md,"2026-05-28: Closed with integration proof of activation attempt caps on /patient-app/activate (rateLimiting.test.ts)."
BUG-ARCH-PHI-KEY-MANDATORY,Architecture / Crypto,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with fail-closed production PHI key contract checks verified in productionIntegrationConfig.int.test.ts."
BUG-ARCH-PHI-KEY-ROTATION,Architecture / Crypto,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with versioned PHI keyring implementation and local regression pack validation."
BUG-ARCH-CLINICAL-NOTE-SIGNATURE-HASH,Architecture / Forensics,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with signed-note content hash + immutability assertions in bug417AiDraftSignAttestation.int.test.ts."
BUG-344,ADHA / eRx,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with local full CTS v3.0.1 revalidation (erxConformanceA5.test.ts) and green guard pack."
BUG-P1,ADHA / eRx,S0,fixed,pre,,remediation/evidence/d40-s0-local-closure-proof-pack-2026-05-28.md,"2026-05-28: Closed with EoP redaction revalidation (bugP1EopRedaction.test.ts) and guard:eop-redaction."
BUG-SA-001,Dashboard / RBAC,S1,fixed,pre,,remediation/evidence/d37-s1-dashboard-allocation-route-contract-closures-2026-05-28.md,"2026-05-28: Closed with dashboard role-view logic proof plus API integration verification across manager/clinical dashboard surfaces."
BUG-SA-002,Dashboard / Cache,S1,fixed,pre,,remediation/evidence/d37-s1-dashboard-allocation-route-contract-closures-2026-05-28.md,"2026-05-28: Closed with clinic-scoped invalidation behavior verified through dashboard web/API suites and FORCE-RLS-safe integration harness execution."
BUG-SA-003,Reallocation / Data Integrity,S1,fixed,pre,,remediation/evidence/d37-s1-dashboard-allocation-route-contract-closures-2026-05-28.md,"2026-05-28: Closed with bulk/planned/reallocation integration coverage proving transaction-envelope behavior, clinic-scope enforcement, and four-eyes controls."
BUG-SA-004,Assignment Model,S1,fixed,pre,,remediation/evidence/d38-s1-force-rls-assignment-safetycase-closures-2026-05-28.md,"2026-05-28: Closed with assignment read-path convergence proof across transitions/reallocation/task team scope plus dry-run reconciliation verification (reconcile-assignment-drift.ts --dry-run: zero missing/stale/reactivation rows)."
BUG-SA-005,Route Contracts,S1,fixed,pre,,remediation/evidence/d37-s1-dashboard-allocation-route-contract-closures-2026-05-28.md,"2026-05-28: Closed with frontend/backend route-contract guards green and no unresolved route drift on active surfaces."
BUG-SA-006,Data Reconciliation,S1,fixed,pre,,remediation/assignment-drift-reconciliation-protocol.md + ../../apps/api/scripts/reconcile-assignment-drift.ts,"2026-05-28: Added canonical assignment-drift reconciliation script with dry-run default, apply modes, clinic scoping, and transactional writes. Added operator runbook with execution order, verification SQL, and rollback posture. Wired npm command reconcile:assignment-drift. Closes BUG-SA-006."
BUG-SA-007,Mutation Idempotency,S1,fixed,pre,,remediation/evidence/d18-s1-sa007-route-idempotency-contract-2026-05-28.md,"2026-05-28: Added explicit idempotency middleware coverage on high-risk referral + billing mutation routes and introduced guard:route-idempotency-contract to prevent regression drift."
BUG-SA-008,Observability Baseline,S1,fixed,pre,,remediation/evidence/d19-s1-sa008-worker-failure-observability-baseline-2026-05-28.md,"2026-05-28: Added AI worker failed-job telemetry and guard:worker-failure-observability to enforce failure handlers + DLQ retention baseline across non-stub workers."
BUG-SA-009,Migration Safety,S1,fixed,pre,,remediation/evidence/d21-s1-sa009-migration-forward-fix-rollback-protocol-2026-05-28.md,"2026-05-28: closed by explicit forward-fix governance entry for irreversible BUG-362 migration in migration-forward-fix-only-register.json, with fail-closed rehearsal proof (migrate:rehearsal status approved-forward-fix-only) and rollback-discipline guard pass."
BUG-SA-010,Critical Performance Risk,S1,fixed,pre,,remediation/evidence/d24-s1-bug-sa-010-critical-path-performance-baseline-2026-05-28.md,"2026-05-28: Closed with dedicated critical-path performance baseline suite (bugSa010CriticalPathPerformance.int.test.ts) covering dashboard clinician/team scopes plus transitions/reallocations read paths with bounded p95 thresholds and measured telemetry output. Local baseline passed with no threshold breaches; fix-registry anchor added."
BUG-SA-011,Safety Case Gaps,S1,fixed,pre,,remediation/evidence/d38-s1-force-rls-assignment-safetycase-closures-2026-05-28.md,"2026-05-28: Closed with dashboard false-zero hazard coverage + task team-scope invariants + self-harm escalation fail-safe proofs (dashboardPageSupport.test.ts, taskTeamScope.int.test.ts, bugWf52AssessmentSuicideRiskEscalation.int.test.ts)."
BUG-WF42-OUTREACH-WORKER-RLS-CONTEXT,Worker Tenancy,S1,fixed,pre,,remediation/evidence/d36-s1-wf42-outreach-worker-tenant-context-closure-2026-05-28.md,"2026-05-28: Closed with worker-path integration proof that tenant context is applied for outreach dispatch and profile resolution."
BUG-INFRA-ENV-CONTRACT-GAP,Infra / Deploy,S1,fixed,pre,,remediation/evidence/d20-s1-bug-infra-env-contract-gap-2026-05-28.md,"2026-05-28: Closed with structural guard hardening + env catalog SSoT. guard:env-template-contract now performs AST runtime env-key discovery across API/gateway/web, enforces template+catalog coverage, and fails on stale env docs. Added apps/web/.env.example, docs/operations/env-contract-catalog.md, and expanded API env templates."
BUG-WF71-UPLOAD-MIME-VALIDATION,Upload Security,S1,fixed,pre,,remediation/evidence/d30-s1-wf71-referral-safety-closures-2026-05-28.md,"2026-05-28: Referral attachment safety is fail-closed via MIME allowlist + signature checks (assertReferralAttachmentSafe), with integration proof in bugWf71ReferralAttachmentSafety.int.test.ts (2/2)."
BUG-SCRIBE25-003,AI / Data Integrity,S1,fixed,pre,,remediation/evidence/d28-s1-scribe-sequence-crosslang-closure-2026-05-28.md,"2026-05-28: lineage-keyed idempotent materialisation for action proposals implemented (lineage_key + conflict-safe insert), with integration proof in bugScribe25ActionItemLineage.int.test.ts."
BUG-SCRIBE25-004,AI / Data Contract,S1,fixed,pre,,remediation/evidence/d28-s1-scribe-sequence-crosslang-closure-2026-05-28.md,"2026-05-28: shared mse_structured schema contract with citation-cardinality enforcement implemented and bound at API output; unit + integration evidence in d28."
BUG-SCRIBE25-005,AI / Medico-Legal,S1,fixed,pre,,remediation/evidence/d28-s1-scribe-sequence-crosslang-closure-2026-05-28.md,"2026-05-28: medico-legal role gates and immutable lifecycle controls enforced for 291/court-report flows, with integration proof in bugScribe25MedicoLegalLifecycle.int.test.ts."
BUG-SCRIBE25-006,AI / Reliability,S1,fixed,pre,,remediation/evidence/d28-s1-scribe-sequence-crosslang-closure-2026-05-28.md,"2026-05-28: degraded-mode + recovery signaling implemented for scribe interruptions/model-host outages, with integration proof in bugScribe25DegradedMode.int.test.ts."
BUG-WF31-VALIDATION-MISSING,Patient Registration,S1,fixed,pre,,remediation/evidence/d33-s1-wf31-validation-closure-2026-05-28.md,"2026-05-28: Closed with integration proof that registration paths fail-closed for invalid DOB/phone/Medicare and accept valid quick-register payloads."
BUG-WF41-REMINDER-TX-ORDER,Appointments,S1,fixed,pre,,remediation/evidence/d34-s1-wf41-reminder-notification-closure-2026-05-28.md,"2026-05-28: Closed with integration proof that reminder scheduling path is idempotent and transaction-safe on production endpoints."
BUG-WF41-CLINICIAN-NOTIFY-MISSING,Appointments,S1,fixed,pre,,remediation/evidence/d34-s1-wf41-reminder-notification-closure-2026-05-28.md,"2026-05-28: Closed with integration proof that clinician notifications emit on appointment creation with expected suppression behavior."
BUG-WF43-CHECK-IN-COLUMN-MISSING,Check-In,S1,fixed,pre,,remediation/evidence/d32-s1-wf43-checkin-closure-2026-05-28.md,"2026-05-28: Closed with integration proof for check_in_at/checked_in_by_id persistence and lock-version increment, plus response-shape hardening for checkInAt ISO serialization."
BUG-WF43-ITEMS-AGGREGATION-MISSING,Check-In,S1,fixed,pre,,remediation/evidence/d32-s1-wf43-checkin-closure-2026-05-28.md,"2026-05-28: Closed with endpoint-level integration proof that check-in outstanding endpoint returns centralized outstanding counts in a valid contract shape."
BUG-WF52-SCORING-CALCULATOR-MISSING,Assessments,S1,fixed,pre,,remediation/evidence/d35-s1-wf52-scoring-calculator-closure-2026-05-28.md,"2026-05-28: Closed with integration + unit proof that server-side derived scoring is authoritative and client-submitted totals are ignored."
BUG-WF61-RECEIPT-EMAIL-MISSING,Billing / Receipts,S1,fixed,pre,,remediation/evidence/d31-s1-wf61-receipt-email-closure-2026-05-28.md,"2026-05-28: Closed with endpoint-level integration proof that billing routes enqueue billing_notice receipt/invoice jobs on payment record and invoice send, plus worker-not-stub guard and unit coverage."
BUG-WF71-ACK-EMAIL-MISSING,Referrals,S1,fixed,pre,,remediation/evidence/d30-s1-wf71-referral-safety-closures-2026-05-28.md,"2026-05-28: Intake ACK dispatch and SLA backfill paths are active (sendIntakeAcknowledgement + processIntakeAcknowledgementSla), with integration proof in bugWf71ReferralAckEmail.int.test.ts (2/2)."
BUG-WF71-EXPIRY-SCHEDULER-MISSING,Referrals,S1,fixed,pre,,remediation/evidence/d30-s1-wf71-referral-safety-closures-2026-05-28.md,"2026-05-28: 12-month referral expiry scheduler path is active with transition/task/event writes, with integration proof in bugWf71ReferralExpiryScheduler.int.test.ts (2/2)."
BUG-WF81-DISPENSE-FLOW-MISSING,ePrescription / Workflow,S1,fixed,pre,,remediation/evidence/d22-s1-wf81-dispense-flow-closure-2026-05-28.md,"Closed 2026-05-28: ERX005 notifications now drive downstream state transitions end-to-end (token match by prescription_id/dsp_id/token_value/npds_reference, idempotent erx_tokens dispensed write, prescription status transition to dispensed, audit row, and clinical signal emission). Route /prescriptions/erx/poll-dispense now reports matched/updated/unmatched/alreadyDispensed/errors counters. Regression proof: bugWf81DispenseFlow.int.test.ts (3/3)."
BUG-WF81-PBS-AUTHORITY-MISSING,ePrescription / Compliance,S1,fixed,pre,,remediation/evidence/d29-wf81-hpii-pbs-aslr-closure-2026-05-28.md,"2026-05-28: Authority requirements are enforced at create and submit boundaries (pbsItemCode + authorityCode), including canonical payload derivation and assertPbsAuthorityConsistency fail-closed checks; shared/unit/integration regression packs passed."
BUG-WF81-ASLR-READONLY,ePrescription / Interop,S1,fixed,pre,,remediation/evidence/d29-wf81-hpii-pbs-aslr-closure-2026-05-28.md,"2026-05-28: MySL MedicationRequest write-back path is active from submit and cancel flows (active/cancelled state sync) with audited outcomes; regression coverage passed in myslMedicationSync.test.ts and bugP5IhiStatusPrescribeGate.int.test.ts."
BUG-ARCH-FORCE-RLS-BASELINE,Architecture / DB Security,S1,fixed,pre,,remediation/evidence/d38-s1-force-rls-assignment-safetycase-closures-2026-05-28.md,"2026-05-28: Closed by FORCE-RLS backfill for post-baseline table clinic_sequences (20260701000090...) and green integration proof (forceRlsBaseline.int.test.ts, bug417AiDraftSignAttestation.int.test.ts, appointmentSlotUniqueness.int.test.ts). DBA NOBYPASSRLS posture remains an operational deployment control in runbooks."
