test_case_id,module_id,module_name,workflow_under_test,persona,scenario_type,pre_filled_steps,expected_result,actual_result,status,evidence_path_or_link,bug_id_if_failed,notes
F01-HAPPY,F01,Auth & Session,Login / logout / protected-route redirect,superadmin,happy_path,"1) Go to /login 2) Login with seeded credentials 3) Verify redirect to dashboard 4) Logout 5) Open protected route unauthenticated","Login succeeds, dashboard loads, logout works, protected route redirects to login, no 5xx",,Not Run,,,
F01-DENY,F01,Auth & Session,Invalid credential handling,clinician,validation_error,"1) Go to /login 2) Enter valid email + wrong password 3) Submit","Shows auth error (4xx), does not create session, no 500",,Not Run,,,
F02-HAPPY,F02,RBAC & Access Governance,Role-route policy matrix (core routes),admin,happy_path,"1) Login as admin 2) Visit admin-allowed routes 3) Confirm pages load","Allowed routes return 2xx and render expected UI, no 5xx",,Not Run,,,
F02-DENY,F02,RBAC & Access Governance,Role-route policy matrix (core routes),receptionist,rbac_denied,"1) Login as receptionist 2) Visit restricted routes (/reports,/power-settings,etc)","Restricted actions are hidden or denied with 403; no unauthorized side effects",,Not Run,,,
F03-HAPPY,F03,Clinic Onboarding & Provisioning,Create clinic + seed admin via onboarding,superadmin,happy_path,"1) Open Power Settings onboarding 2) Submit valid clinic/admin payload 3) Verify created entities","Clinic + admin created successfully, success response, no validation regressions",,Not Run,,,
F03-VALID,F03,Clinic Onboarding & Provisioning,HPI-O validation during onboarding,superadmin,validation_error,"1) Submit invalid HPI-O 2) Observe response","Returns 422 validation error with clear message; no partial writes",,Not Run,,,
F04-HAPPY,F04,Staff Lifecycle & Assignment,Create/edit/assign staff,admin,happy_path,"1) Open staff assignments 2) Add staff 3) Edit details 4) Assign role/team","Staff CRUD + assignment persist after reload; no 5xx",,Not Run,,,
F04-DENY,F04,Staff Lifecycle & Assignment,Staff management authorization,receptionist,rbac_denied,"1) Login as receptionist 2) Attempt staff-management actions","Unauthorized actions denied/hidden; no write side effects",,Not Run,,,
F05-HAPPY,F05,Patient Registration & Profile,Register/edit/search patient,admin,happy_path,"1) Register patient 2) Edit core demographics 3) Search and reopen profile","Patient data saves, search returns record, profile reload is consistent",,Not Run,,,
F05-ISOL,F05,Patient Registration & Profile,Cross-clinic patient isolation,clinician,cross_clinic_isolation,"1) Login clinic A user 2) Attempt access to clinic B patient id","Access denied or not found for foreign clinic; no data leakage",,Not Run,,,
F06-HAPPY,F06,Queues / Lists / Status,Queue/list loading and filtering,manager,happy_path,"1) Open queue/list pages 2) Apply filters/sorts 3) Verify counts","Queues render, filters apply correctly, no API/runtime crashes",,Not Run,,,
